session,touch,time,data,time_sec,touch_type
0,5,15,0.0,0.16666666666666666,Other interaction
0,5,16,0.0,0.49999999999999967,Other interaction
0,5,17,0.0,0.8333333333333327,Other interaction
0,5,18,0.0,1.1666666666666667,Other interaction
0,5,19,0.0,1.4999999999999998,Other interaction
0,5,20,0.0,1.8333333333333328,Other interaction
0,5,21,0.0,2.1666666666666665,Other interaction
0,5,22,0.0,2.4999999999999996,Other interaction
0,5,23,0.0,2.8333333333333326,Other interaction
0,5,24,0.0,3.1666666666666665,Other interaction
0,5,25,0.0,3.4999999999999987,Other interaction
0,5,26,0.0,3.8333333333333326,Other interaction
0,5,27,0.0,4.166666666666667,Other interaction
0,5,28,0.0,4.499999999999999,Other interaction
0,5,29,0.0,4.833333333333333,Other interaction
0,5,30,0.0,5.166666666666667,Other interaction
0,5,31,0.0,5.499999999999999,Other interaction
0,5,32,0.0,5.833333333333333,Other interaction
0,5,33,0.0,6.166666666666667,Other interaction
0,5,34,0.0,6.499999999999999,Other interaction
0,5,35,0.0,6.833333333333333,Other interaction
0,5,36,0.0,7.166666666666667,Other interaction
0,5,37,0.0,7.499999999999999,Other interaction
0,5,38,0.0,7.833333333333333,Other interaction
0,5,39,0.0,8.166666666666666,Other interaction
0,5,40,0.0,8.499999999999998,Other interaction
0,5,41,0.0,8.833333333333332,Other interaction
0,5,42,0.0,9.166666666666666,Other interaction
0,5,43,0.0,9.499999999999998,Other interaction
0,5,44,0.0,9.833333333333332,Other interaction
1,0,0,0.0,-4.833333333333333,Passing
1,0,1,0.0,-4.5,Passing
1,0,2,0.0,-4.166666666666666,Passing
1,0,3,0.0,-3.8333333333333335,Passing
1,0,4,0.0,-3.5000000000000004,Passing
1,0,5,0.0,-3.166666666666667,Passing
1,0,6,0.0,-2.8333333333333335,Passing
1,0,7,0.0,-2.5000000000000004,Passing
1,0,8,0.0,-2.166666666666667,Passing
1,0,9,0.0,-1.8333333333333333,Passing
1,0,10,0.0,-1.5000000000000002,Passing
1,0,11,0.0,-1.1666666666666667,Passing
1,0,12,0.0,-0.8333333333333334,Passing
1,0,13,0.0,-0.5000000000000003,Passing
1,0,14,0.0,-0.16666666666666727,Passing
1,0,15,0.0,0.16666666666666666,Passing
1,0,16,0.0,0.49999999999999967,Passing
1,0,17,0.0,0.8333333333333327,Passing
1,0,18,0.0,1.1666666666666667,Passing
1,0,19,0.0,1.4999999999999998,Passing
1,0,20,0.0,1.8333333333333328,Passing
1,0,21,0.0,2.1666666666666665,Passing
1,0,22,0.0,2.4999999999999996,Passing
1,0,23,0.0,2.8333333333333326,Passing
1,0,24,0.0,3.1666666666666665,Passing
1,0,25,0.0,3.4999999999999987,Passing
1,0,26,0.0,3.8333333333333326,Passing
1,0,27,0.0,4.166666666666667,Passing
1,0,28,0.0,4.499999999999999,Passing
1,0,29,0.0,4.833333333333333,Passing
1,0,30,0.0,5.166666666666667,Passing
1,0,31,0.0,5.499999999999999,Passing
