data,condition,noise,silence,animal
0.3689130113378667,300_900,300,900,labels_aup_1041
0.2815047981859209,300_900,300,900,labels_aup_1041
0.2754741428571421,900_600,900,600,labels_aup_1041
0.255072063492058,900_600,900,600,labels_aup_1041
0.5431426077097541,900_600,900,600,labels_aup_1041
0.5387252857142855,900_600,900,600,labels_aup_1041
1.2591704489795958,900_600,900,600,labels_aup_1041
0.5731290975056709,900_600,900,600,labels_aup_1041
1.2921190975056618,900_600,900,600,labels_aup_1041
0.28633202267572244,900_600,900,600,labels_aup_1041
0.8145904285714209,900_600,900,600,labels_aup_1041
0.5162041609977308,900_600,900,600,labels_aup_1041
0.9643840022675789,900_600,900,600,labels_aup_1041
0.37196651700679695,900_600,900,600,labels_aup_1041
0.5660004376417191,900_600,900,600,labels_aup_1041
0.32437717006800426,900_600,900,600,labels_aup_1041
0.3150664965986323,900_600,900,600,labels_aup_1041
0.33280767800453503,600_300,600,300,labels_aup_1041
0.46427254421768627,600_300,600,300,labels_aup_1041
0.3031623560090697,600_300,600,300,labels_aup_1041
0.289568222222222,600_300,600,300,labels_aup_1041
0.29477882539682554,600_300,600,300,labels_aup_1041
0.3688468843537436,600_300,600,300,labels_aup_1041
0.17865975056689365,600_300,600,300,labels_aup_1041
0.5021557551020379,600_300,600,300,labels_aup_1041
0.3322565963718773,600_300,600,300,labels_aup_1041
0.2924128140589346,600_300,600,300,labels_aup_1041
0.2647236009070184,600_300,600,300,labels_aup_1041
0.18466995238094341,600_300,600,300,labels_aup_1041
0.3806174671201745,600_300,600,300,labels_aup_1041
0.1432527437641795,600_300,600,300,labels_aup_1041
0.24609909523809392,600_300,600,300,labels_aup_1041
0.21649944671202093,600_300,600,300,labels_aup_1041
0.35407262811791185,300_600,300,600,labels_aup_1041
0.1810992063492023,300_600,300,600,labels_aup_1041
0.21843610204081187,300_600,300,600,labels_aup_1041
0.23291802267573303,300_600,300,600,labels_aup_1041
0.378774462585028,300_600,300,600,labels_aup_1041
0.29482419501132995,300_600,300,600,labels_aup_1041
0.3597611156462506,300_600,300,600,labels_aup_1041
0.3743073083900015,300_600,300,600,labels_aup_1041
0.6685059251700665,600_900,600,900,labels_aup_1041
0.21582057369614205,600_900,600,900,labels_aup_1041
0.36984877551020645,600_900,600,900,labels_aup_1041
0.4668455578231345,600_900,600,900,labels_aup_1041
0.3547767210884416,600_900,600,900,labels_aup_1041
0.22037145351474408,600_900,600,900,labels_aup_1041
0.3842601065759652,600_900,600,900,labels_aup_1041
0.35898959183671764,600_900,600,900,labels_aup_1041
1.3380187551020413,600_900,600,900,labels_aup_1041
0.20609683900225662,600_900,600,900,labels_aup_1041
1.278273839002253,600_900,600,900,labels_aup_1041
0.39865068027211237,600_900,600,900,labels_aup_1041
0.345574689342385,600_900,600,900,labels_aup_1041
0.2726043310657573,900_300,900,300,labels_aup_1041
0.15550512244897874,900_300,900,300,labels_aup_1041
0.4318951269841165,900_300,900,300,labels_aup_1041
0.246057884353732,900_300,900,300,labels_aup_1041
0.3333955079365012,900_300,900,300,labels_aup_1041
0.5826439183673529,900_300,900,300,labels_aup_1041
0.22119280952379938,900_300,900,300,labels_aup_1041
0.3332574875283285,900_300,900,300,labels_aup_1041
0.7538653786847931,900_300,900,300,labels_aup_1041
0.1746043537414863,900_300,900,300,labels_aup_1041
0.32829354648524145,900_300,900,300,labels_aup_1041
0.2749023038548728,900_300,900,300,labels_aup_1041
0.21230833333333976,900_300,900,300,labels_aup_1041
0.9691393333333451,900_300,900,300,labels_aup_1041
0.6234120634920579,900_600,900,600,labels_aup_1508
0.3491531950113256,300_600,300,600,labels_aup_1508
0.5118506530612255,300_900,300,900,labels_aup_1530
