session,condition,time,data,time_sec
3,300sc,24,0.0,1.225
3,300sc,25,0.0,1.275
3,300sc,26,0.0,1.325
3,300sc,27,0.0,1.375
3,300sc,28,0.0,1.425
3,300sc,29,0.0,1.475
3,300sc,30,0.0,1.525
3,300sc,31,0.0,1.575
3,300sc,32,0.0,1.625
3,300sc,33,0.0,1.675
3,300sc,34,0.0,1.725
3,300sc,35,0.0,1.775
3,600sc,0,0.0,0.025
3,600sc,1,0.0,0.07500000000000001
3,600sc,2,0.0,0.125
3,600sc,3,0.0,0.17500000000000002
3,600sc,4,0.0,0.225
3,600sc,5,2.0,0.275
3,600sc,6,1.0,0.32500000000000007
3,600sc,7,2.0,0.37500000000000006
3,600sc,8,0.0,0.42500000000000004
3,600sc,9,1.0,0.47500000000000003
3,600sc,10,0.0,0.525
3,600sc,11,0.0,0.5750000000000001
3,600sc,12,1.0,0.6250000000000001
3,600sc,13,0.0,0.675
3,600sc,14,1.0,0.7250000000000001
3,600sc,15,0.0,0.775
3,600sc,16,0.0,0.8250000000000001
3,600sc,17,0.0,0.8750000000000001
3,600sc,18,0.0,0.925
3,600sc,19,0.0,0.9750000000000001
3,600sc,20,0.0,1.025
3,600sc,21,0.0,1.075
3,600sc,22,0.0,1.125
3,600sc,23,0.0,1.175
3,600sc,24,0.0,1.225
3,600sc,25,0.0,1.275
3,600sc,26,0.0,1.325
3,600sc,27,0.0,1.375
3,600sc,28,0.0,1.425
3,600sc,29,0.0,1.475
3,600sc,30,0.0,1.525
3,600sc,31,0.0,1.575
3,600sc,32,0.0,1.625
3,600sc,33,0.0,1.675
3,600sc,34,0.0,1.725
3,600sc,35,0.0,1.775
3,900sc,0,1.0,0.025
3,900sc,1,1.0,0.07500000000000001
3,900sc,2,2.0,0.125
3,900sc,3,3.0,0.17500000000000002
3,900sc,4,1.0,0.225
3,900sc,5,6.0,0.275
3,900sc,6,4.0,0.32500000000000007
3,900sc,7,1.0,0.37500000000000006
3,900sc,8,1.0,0.42500000000000004
3,900sc,9,3.0,0.47500000000000003
3,900sc,10,0.0,0.525
3,900sc,11,2.0,0.5750000000000001
3,900sc,12,1.0,0.6250000000000001
3,900sc,13,1.0,0.675
3,900sc,14,3.0,0.7250000000000001
3,900sc,15,0.0,0.775
3,900sc,16,0.0,0.8250000000000001
3,900sc,17,0.0,0.8750000000000001
3,900sc,18,2.0,0.925
3,900sc,19,0.0,0.9750000000000001
3,900sc,20,0.0,1.025
3,900sc,21,0.0,1.075
3,900sc,22,1.0,1.125
3,900sc,23,0.0,1.175
3,900sc,24,0.0,1.225
3,900sc,25,0.0,1.275
3,900sc,26,0.0,1.325
3,900sc,27,1.0,1.375
3,900sc,28,0.0,1.425
3,900sc,29,2.0,1.475
3,900sc,30,1.0,1.525
3,900sc,31,0.0,1.575
3,900sc,32,0.0,1.625
3,900sc,33,0.0,1.675
3,900sc,34,0.0,1.725
