session,condition,time,data,experiment
7,1,0,0.6666666666666666,noise
7,1,1,0.3333333333333333,noise
7,1,2,0.0,noise
7,1,3,0.0,noise
7,1,4,0.0,noise
7,1,5,0.0,noise
7,1,6,0.0,noise
7,1,7,0.0,noise
7,1,8,0.0,noise
7,1,9,0.0,noise
8,0,0,0.0,noise
8,0,1,0.0,noise
8,0,2,0.13157894736842105,noise
8,0,3,0.10526315789473684,noise
8,0,4,0.05263157894736842,noise
8,0,5,0.15789473684210525,noise
8,0,6,0.02631578947368421,noise
8,0,7,0.0,noise
8,0,8,0.2631578947368421,noise
8,0,9,0.2631578947368421,noise
8,1,0,0.07894736842105263,noise
8,1,1,0.05263157894736842,noise
8,1,2,0.10526315789473684,noise
8,1,3,0.10526315789473684,noise
8,1,4,0.10526315789473684,noise
8,1,5,0.15789473684210525,noise
8,1,6,0.15789473684210525,noise
8,1,7,0.10526315789473684,noise
8,1,8,0.02631578947368421,noise
8,1,9,0.10526315789473684,noise
9,0,0,0.2222222222222222,noise
9,0,1,0.08333333333333333,noise
9,0,2,0.0,noise
9,0,3,0.05555555555555555,noise
9,0,4,0.0,noise
9,0,5,0.1111111111111111,noise
9,0,6,0.08333333333333333,noise
9,0,7,0.2222222222222222,noise
9,0,8,0.16666666666666666,noise
9,0,9,0.05555555555555555,noise
9,1,0,0.15,noise
9,1,1,0.125,noise
9,1,2,0.025,noise
9,1,3,0.2,noise
9,1,4,0.125,noise
9,1,5,0.1,noise
9,1,6,0.1,noise
9,1,7,0.0,noise
9,1,8,0.1,noise
9,1,9,0.075,noise
10,0,0,0.0,noise
10,0,1,0.2,noise
10,0,2,0.2,noise
10,0,3,0.0,noise
10,0,4,0.0,noise
10,0,5,0.0,noise
10,0,6,0.2,noise
10,0,7,0.2,noise
10,0,8,0.2,noise
10,0,9,0.0,noise
10,1,0,,noise
10,1,1,,noise
10,1,2,,noise
10,1,3,,noise
10,1,4,,noise
10,1,5,,noise
10,1,6,,noise
10,1,7,,noise
10,1,8,,noise
10,1,9,,noise
11,0,0,0.08333333333333333,noise
11,0,1,0.0,noise
11,0,2,0.08333333333333333,noise
11,0,3,0.25,noise
11,0,4,0.08333333333333333,noise
11,0,5,0.08333333333333333,noise
11,0,6,0.08333333333333333,noise
11,0,7,0.0,noise
