epoch_type,percentage,condition,animal,percentage_all,experiment
1,0.8214285714285714,600,11,0.6133333333333333,sc
2,0.125,600,11,0.09333333333333334,sc
3,0.05357142857142857,600,11,0.04,sc
1,0.5858585858585859,900,11,0.5742574257425742,sc
2,0.030303030303030304,900,11,0.0297029702970297,sc
3,0.3838383838383838,900,11,0.37623762376237624,sc
1,0.7843137254901961,600,18,0.26666666666666666,sc
2,0.21568627450980393,600,18,0.07333333333333333,sc
1,0.7142857142857143,900,18,0.04950495049504951,sc
2,0.2857142857142857,900,18,0.019801980198019802,sc
1,0.7310924369747899,600,2,0.58,sc
2,0.23529411764705882,600,2,0.18666666666666668,sc
3,0.03361344537815126,600,2,0.02666666666666667,sc
1,0.7125,900,2,0.5643564356435643,sc
2,0.0875,900,2,0.06930693069306931,sc
3,0.2,900,2,0.15841584158415842,sc
1,0.6989247311827957,600,7,0.43333333333333335,sc
2,0.25806451612903225,600,7,0.16,sc
3,0.043010752688172046,600,7,0.02666666666666667,sc
1,0.7160493827160493,900,7,0.5742574257425742,sc
2,0.1111111111111111,900,7,0.0891089108910891,sc
3,0.1728395061728395,900,7,0.13861386138613863,sc
1,0.6166666666666667,600,9,0.24666666666666667,sc
2,0.3333333333333333,600,9,0.13333333333333333,sc
3,0.05,600,9,0.02,sc
1,0.6037735849056604,900,9,0.31683168316831684,sc
2,0.18867924528301888,900,9,0.09900990099009901,sc
3,0.20754716981132076,900,9,0.10891089108910891,sc
