age,condition,animal,mean_response_base,mean_response_timing_first,mean_response_timing_second,mean_response_std,epoch_type,weight,colony,sex,experiment
600,900,179,,0.2093224999996579,0.4387804999996433,,3.0,37.6,Chubbs,m,noise
5793,600,1,0.5176370000012867,0.5176370000012867,,0.07096499999988737,1.0,43.6,Baggins,f,noise
5793,600,1,0.3042967142870485,,0.3042967142870485,0.17133969424738554,2.0,43.6,Baggins,f,noise
5793,900,1,0.28212599999937993,0.28212599999937993,,0.0,1.0,43.6,Baggins,f,noise
5793,900,1,0.10994783333313374,,0.10994783333313374,0.0880997406545508,2.0,43.6,Baggins,f,noise
5793,900,1,,0.6648140000007743,0.8897500000007085,,3.0,43.6,Baggins,f,noise
2501,600,22,0.3508418115941936,0.3508418115941936,,0.1456386602401919,1.0,75.7,Took,m,sc
2501,600,22,0.1677383157894634,,0.1677383157894634,0.12128968073042629,2.0,75.7,Took,m,sc
2501,600,22,,0.13625971999998795,0.23943699999998788,,3.0,75.7,Took,m,sc
2501,900,22,0.5104055599999997,0.5104055599999997,,0.2909188334795904,1.0,75.7,Took,m,sc
2501,900,22,0.3676299333333316,,0.3676299333333316,0.17948683065988105,2.0,75.7,Took,m,sc
2501,900,22,,0.3819587111111106,0.3521251860465104,,3.0,75.7,Took,m,sc
1792,600,26,0.37564117741934505,0.37564117741934505,,0.1447632438258606,1.0,48.2,Took,m,sc
1792,600,26,0.09493129629628505,,0.09493129629628505,0.07600044940891601,2.0,48.2,Took,m,sc
1792,600,26,,0.07221499999999992,0.3628549999999905,,3.0,48.2,Took,m,sc
1792,900,26,0.4533803999999994,0.4533803999999994,,0.17272657396515517,1.0,48.2,Took,m,sc
1792,900,26,0.23857846153845574,,0.23857846153845574,0.19514350612568765,2.0,48.2,Took,m,sc
1792,900,26,,0.3018735333333363,0.3904266000000082,,3.0,48.2,Took,m,sc
1316,600,29,0.3512998333333333,0.3512998333333333,,0.06339485377224888,1.0,56.4,Took,f,sc
1316,600,29,0.07045350000001493,,0.07045350000001493,0.06683950000000749,2.0,56.4,Took,f,sc
1316,900,29,0.3600666071428691,0.3600666071428691,,0.203987749651502,1.0,56.4,Took,f,sc
1316,900,29,0.3431835999999976,,0.3431835999999976,0.24973968345746794,2.0,56.4,Took,f,sc
1316,900,29,,0.3822020000000066,0.424294999999978,,3.0,56.4,Took,f,sc
1316,900,32,0.4620060714285777,0.4620060714285777,,0.16956680301304425,1.0,54.9,Took,m,sc
1316,900,32,0.4021804999999915,,0.4021804999999915,0.24262650000000008,2.0,54.9,Took,m,sc
2592,600,113,0.313625262711867,0.313625262711867,,0.12378986231105776,1.0,71.8,Chubbs,m,sc
2592,600,113,0.10683066666667729,,0.10683066666667729,0.06266174367364484,2.0,71.8,Chubbs,m,sc
2592,900,113,0.38185453030303956,0.38185453030303956,,0.19662617043056133,1.0,71.8,Chubbs,m,sc
2592,900,113,0.3095965000000035,,0.3095965000000035,0.2103374283769912,2.0,71.8,Chubbs,m,sc
2592,900,113,,0.2625789565217595,0.35220830434784095,,3.0,71.8,Chubbs,m,sc
2516,600,114,0.3615422619047728,0.3615422619047728,,0.13083974204729942,1.0,68.6,Chubbs,m,sc
2516,600,114,0.1347349166666746,,0.1347349166666746,0.10756563597826199,2.0,68.6,Chubbs,m,sc
2516,600,114,,0.13544350000000804,0.20230649999998607,,3.0,68.6,Chubbs,m,sc
2516,900,114,0.4328597073170624,0.4328597073170624,,0.20234213196769416,1.0,68.6,Chubbs,m,sc
2516,900,114,0.24163328571426546,,0.24163328571426546,0.19410639791965625,2.0,68.6,Chubbs,m,sc
2516,900,114,,0.26760354545451615,0.27078927272723896,,3.0,68.6,Chubbs,m,sc
1629,600,118,0.38308467857141437,0.38308467857141437,,0.14499872324796742,1.0,56.2,Chubbs,f,sc
1629,600,118,0.11657066666666649,,0.11657066666666649,0.07345100629006586,2.0,56.2,Chubbs,f,sc
1629,900,118,0.4071870952380969,0.4071870952380969,,0.23868197001806502,1.0,56.2,Chubbs,f,sc
1629,900,118,0.25467499999999965,,0.25467499999999965,0.1661593047317036,2.0,56.2,Chubbs,f,sc
1629,900,118,,0.21333079999999427,0.31123933333333675,,3.0,56.2,Chubbs,f,sc
